criterion,function,location,mentioned_in_formal_engine
T1_DRT_REQUIRED,RESPONSIBILITY_HAS_ACCEPTED_DRT_EVIDENCE,knowledge-base/03_table1.txt:16,False
T1_DRT_REGISTERED,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,knowledge-base/03_table1.txt:34,False
T1_DRT_SIGNED,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,knowledge-base/03_table1.txt:53,False
T1_DRT_PROFESSIONAL_REGULARITY,RESPONSIBILITY_EVIDENCE_PROFESSIONAL_REGULARITY,knowledge-base/03_table1.txt:72,True
T1_CONFORMITY_REPORT,RESPONSIBILITY_HAS_TECHNICAL_PRODUCT,knowledge-base/03_table1.txt:94,False
T1_DRT_RI_LEGAL_ENTITY,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_RI_LEGAL_ENTITY,knowledge-base/03_table1.txt:115,True
T1_DRT_RT_NAME,RESPONSIBILITY_RT_MATCHES_PRODUCT,knowledge-base/03_table1.txt:133,True
T1_DRT_ADDRESS,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_ATTRIBUTE,knowledge-base/03_table1.txt:151,False
T1_DRT_AREA,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_ATTRIBUTE,knowledge-base/03_table1.txt:170,False
T1_CONFORMITY_REPORT_SIGNED,TECHNICAL_PRODUCT_ATTRIBUTE,knowledge-base/03_table1.txt:189,True
T1_DRT_ACTIVITY_EXECUTION,RESPONSIBILITY_ACTIVITY_COMPATIBLE,knowledge-base/03_table1.txt:210,False
T1_DRT_SMSCI_COVERAGE,RESPONSIBILITY_IS_SATISFIED_FOR_SMSCI,knowledge-base/03_table1.txt:228,False
T4_DRT_REGISTERED,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,knowledge-base/04_table4.txt:14,False
T4_DRT_SIGNED,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,knowledge-base/04_table4.txt:33,False
T4_DRT_PROFESSIONAL_REGULARITY,RESPONSIBILITY_EVIDENCE_PROFESSIONAL_REGULARITY,knowledge-base/04_table4.txt:52,True
T4_IN07_COMMISSIONING,DRT_COVERS,knowledge-base/04_table4.txt:74,True
T4_IN07_COMMISSIONING,EXISTS,knowledge-base/04_table4.txt:74,True
T4_IN08_ESTANQUEIDADE,DRT_COVERS,knowledge-base/04_table4.txt:104,True
T4_IN08_ESTANQUEIDADE,EXISTS,knowledge-base/04_table4.txt:104,True
T4_IN08_ESTANQUEIDADE,VALID_WITHIN_YEARS,knowledge-base/04_table4.txt:104,True
T4_IN08_MANUAL,EXISTS,knowledge-base/04_table4.txt:134,True
T4_IN09_DRT,HAS_DRT_ACTIVITY,knowledge-base/04_table4.txt:158,True
T4_IN09_TEST_REPORT,DRT_COVERS,knowledge-base/04_table4.txt:186,True
T4_IN09_TEST_REPORT,EXISTS,knowledge-base/04_table4.txt:186,True
T4_IN09_TEST_REPORT,REPORT_CONTAINS,knowledge-base/04_table4.txt:186,True
T4_IN09_MANUAL,EXISTS,knowledge-base/04_table4.txt:216,True
T4_IN09_CHECKLIST,EXISTS,knowledge-base/04_table4.txt:238,True
T4_IN10_COMMISSIONING,DRT_COVERS,knowledge-base/04_table4.txt:262,True
T4_IN10_COMMISSIONING,EXISTS,knowledge-base/04_table4.txt:262,True
T4_IN10_COMMISSIONING,REPORT_PREPARED_BY_INDEPENDENT_PARTY,knowledge-base/04_table4.txt:262,True
T4_IN12_COMMISSIONING,DRT_COVERS,knowledge-base/04_table4.txt:294,True
T4_IN12_COMMISSIONING,EXISTS,knowledge-base/04_table4.txt:294,True
T4_IN15_COMMISSIONING,DRT_COVERS,knowledge-base/04_table4.txt:335,True
T4_IN15_COMMISSIONING,EXISTS,knowledge-base/04_table4.txt:335,True
T4_IN18_CMAR,EXISTS,knowledge-base/04_table4.txt:365,True
T4_IN19_EXECUTION,EXISTS,knowledge-base/04_table4.txt:411,True
T4_IN19_GROUNDING,EXISTS,knowledge-base/04_table4.txt:431,True
T4_IN19_FINAL_VERIFICATION,EXISTS,knowledge-base/04_table4.txt:451,True
T4_IN19_LEGACY_DOCUMENTATION,EXISTS,knowledge-base/04_table4.txt:473,True
T4_IN34_EXPLOSION_PROTECTION,HAS_DRT_ACTIVITY,knowledge-base/04_table4.txt:517,True
T4_IN34_DUST_CONTROL,HAS_DRT_ACTIVITY,knowledge-base/04_table4.txt:535,True
T4_IN34_HEAT_SENSORS,HAS_DRT_ACTIVITY,knowledge-base/04_table4.txt:553,True
T4_IN34_LIGHTNING_PROTECTION,HAS_DRT_ACTIVITY,knowledge-base/04_table4.txt:571,True
