id,severity,type,confidence,independent_review,layer,location,authority_source,summary,operational_impact,reproducible,recommended_priority
AS-001,HIGH,normative;applicability;false-positive,confirmed,survived,Base / IN19,knowledge-base/02a_applicability.txt:194; knowledge-base/01_entities.txt:505; knowledge-base/02_requirements.txt:336,references/in19.pdf p4 art18; references/irv habitese.pdf p9; references/dtz26.pdf arts51/58,Regime IN19 usa solicitação no lugar de conclusão do imóvel,"Ampliação indevida das exigências: uma DRT de manutenção de 2025 pode satisfazer a alternativa, mas o plano pede execução, aterramento e verificação final. A seleção indevida é comprovada; não foi observado relatório real do Gem.",local-static,P1
AS-002,HIGH,architecture;conceptual-model;completeness,confirmed,survived,Catálogo / Base / release,docs/Anexo_A_Catalogo_Oficial_das_Responsabilidades_Tecnicas_Rev2.txt:48; knowledge-base/02_requirements.txt:19,Anexo A §§3/8; Documento11 §§5/6; AGENTS §§4/11,Sete RTs usadas pela Base não têm registros no catálogo oficial,Lacuna recorrente na fonte das validações centrais. Concluir atendimento exigiria preencher conhecimento não declarado; não se afirma que o Gem efetivamente o fez.,local-static,P1
AS-003,HIGH,normative;applicability;false-positive,confirmed,survived,Base / IN10,knowledge-base/02_requirements.txt:252; knowledge-base/04_table4.txt:262; knowledge-base/02a_applicability.txt:107,IRV Habite-se p9 Tabela4 IN10; DTZ26 arts51/58,IN10 é selecionada para CF genérico sem verificar sistema mecânico,Aplicabilidade ampliada pode produzir exigência ou revisão humana indevida. HIGH refere-se à seleção normativa incorreta com impacto relevante; FAIL automático no Gem não está demonstrado.,local-static,P1
AS-004,MEDIUM,architecture;state-semantics;report,confirmed,not-required,Fronteira Engine / Pipeline,docs/Documento 10 – Guia de Evolução da Plataforma de Sistemas Especialistas para Análise Documental do CBMSC.txt:439; knowledge-base/08_execution_pipeline.txt:547,Documento10 §20.5; 00_engine ASSERT RESULT; Pipeline fase5,UNKNOWN permanece sem contrato de saída final,"Execuções com informação insuficiente podem parar na fronteira ou depender de conversão não autorizada. É dívida já reconhecida, não regressão nova.",local-static,P2
AS-005,MEDIUM,architecture;execution;completeness,confirmed,survived,Builder / Pipeline,tools/build_knowledge_base_release.py:131; knowledge-base/08_execution_pipeline.txt:471; knowledge-base/08_execution_pipeline.txt:532,Pipeline fases4C/5; 00_engine EXECUTE_IN_FILE_ORDER,Ordem literal do índice conflita com concluir T1 antes de T4,O executor deve violar uma ordem ou interromper. Não se demonstrou resultado normativo errado por essa causa.,local-static,P2
AS-006,MEDIUM,architecture;completeness,confirmed,not-required,Base / referências,knowledge-base/02_requirements.txt:108,Pipeline fase4C item4; AGENTS §16,Requirement referencia NC_T1_003_SIGNED inexistente,Potencial bloqueio do gate de referências; não há FAIL indevido observado.,local-static,P2
AS-007,MEDIUM,conceptual-model;extraction;traceability,confirmed,not-required,Entidades / RDE / Base,knowledge-base/01_entities.txt; knowledge-base/04_table4.txt:158; knowledge-base/02_requirements.txt:93,09-RDE representação canônica; Pipeline fase3; 00 NO_NEW_OBJECTS,Sete símbolos documentais consumidos não têm entidade canônica declarada,"Associação por interpretação do nome pode variar, perder evidência ou criar objetos implícitos. Consequência operacional ainda não observada.",local-static,P2
AS-008,MEDIUM,execution;state-semantics;false-negative,confirmed,survived,Contrato VALIDATE / ASSERT,knowledge-base/00_engine.txt:269; knowledge-base/00_engine.txt:334; knowledge-base/02_requirements.txt:141,IRV p7 SHP; T4_IN07_COMMISSIONING; Engine regra SIGNED,Validação de assinatura pode impedir teste de documento ausente,"Possível redução de ausência documental obrigatória a revisão, em vários produtos. Contraexemplo formal; não teste ponta a ponta do Gem.",local-static,P2
AS-009,MEDIUM,architecture;execution;state-semantics,confirmed,not-required,Contratos da Base,knowledge-base/03_table1.txt:24; knowledge-base/03_table1.txt:42; knowledge-base/03_table1.txt:238,00_engine funções declaradas; AGENTS §§9/10,Seis predicates de responsabilidade não têm semântica declarada suficiente,"O Gem pode precisar preencher regra implícita; não inferir ALL/EXISTS pelo nome. Ausência de implementação Python, isoladamente, não é falha operacional.",local-static,P2
AS-010,MEDIUM,extraction;state-semantics;conceptual-model,confirmed,not-required,Schema documental,knowledge-base/01_entities.txt:70,09-RDE FACT ONLY/PROHIBITED CONTENT; Documento10 §20.5; Pipeline fase2,Atributo documental PROFESSIONAL_REGULARITY admite estado de execução,Favorece contaminação da RDE por resultado operacional; não há RDE real com esse erro demonstrada.,local-static,P2
AS-011,MEDIUM,architecture;state-semantics,confirmed,not-required,Python de referência,engine/criterion_ir.py:221; tests/test_engine_infrastructure.py:156,Documento10 §20.5; 00_engine RESPONSIBILITY_RT_MATCHES_PRODUCT,Registry rejeita NOT_APPLICABLE expressamente permitido por predicate,Limita equivalência da infraestrutura e futura representação dos Criteria; sem falha atual do Gem comprovada.,local-executable,P2
AS-012,MEDIUM,traceability;execution,confirmed,not-required,Python de referência,engine/criterion_ir.py:199; engine/criterion_ir.py:374; engine/criterion_ir.py:322,Documento10 §20.7; 00_engine EVIDENCE AND TRACEABILITY,Registro de avaliação não inclui todas as leituras e consequência declarada,"Rastreabilidade direta incompleta na referência; reconstrução depende de preservar PM, IR e implementação.",local-executable,P2
AS-013,LOW,traceability;maintainability,confirmed,not-required,Python de referência,engine/criterion_ir.py:213; engine/criterion_ir.py:310; engine/criterion_ir.py:350,Documento10 contrato Registry estático e rastreabilidade; invariantes imutabilidade,Congelamento superficial aceita aliases mutáveis em contratos/trace,Fragilidade delimitada de API experimental; piloto usa TypedReference imutável e não demonstra esse caminho em operação.,local-executable,P3
AS-014,MEDIUM,execution;state-semantics;testing,confirmed,not-required,Python de referência / piloto,engine/cbmsc_predicates.py:60,00_engine regularidade profissional; Requirements por responsabilidade,Pluralidade de DRTs causa MR antes de verificar fatos,Limite do piloto para evidências complementares/duplicadas; não afirmar falso negativo operacional nem impor agregação normativa não declarada.,local-executable,P2
AS-015,MEDIUM,testing;traceability;completeness,confirmed,not-required,testes de referência,tests/test_engine_infrastructure.py; tests/test_applicability_resolution.py:67; tests/test_execution_pipeline_minimal_guard.py:38,Contratos de ordem/imutabilidade/estados; protocolo adversarial do usuário,Suíte verde não detecta cinco mutações materiais e guardas incompletos,Confiança excessiva na validação local; testes IN19 ainda compartilham premissa temporal da implementação.,local-executable,P2
AS-016,MEDIUM,completeness;applicability,confirmed,not-required,Base / dívida M5,knowledge-base/02a_applicability.txt:162; knowledge-base/02_requirements.txt:387,IRV Tabela4 IN34 p10; contrato 02a DERIVED-INTERNAL DEBT,Quatro Requirements IN34 não têm caminho produtivo de seleção,Completude de plano relativo à Base selecionada não prova cobertura normativa de M5. Não se afirma dispensa/NOT_APPLICABLE automática nem caso real perdido.,local-static,P2
AS-017,LOW,maintainability;execution,confirmed,not-required,Base / consequências,knowledge-base/05_nonconformities.txt:468; knowledge-base/04_table4.txt:33,Criterion→FAIL→Nonconformity; AGENTS §10,NC_T4_018 não possui acionador FAIL,Artefato morto de manutenção; não demonstra que assinatura deva gerar FAIL.,local-static,P3
