requirement,criterion,req_location,criterion_location,table,source,article,smsci,regime,rt,catalog_id,req_nc,criterion_fail_nc,manual_review,assert_functions,primary_source_versioned
REQ_T1_DRT_REQUIRED,T1_DRT_REQUIRED,knowledge-base/02_requirements.txt:16,knowledge-base/03_table1.txt:16,1,IN01,,,,RT_002_EXECUCAO_DE_OBRA,RT-002,NC_T1_001,NC_T1_001,False,RESPONSIBILITY_HAS_ACCEPTED_DRT_EVIDENCE,yes
REQ_T1_DRT_SIGNED,T1_DRT_SIGNED,knowledge-base/02_requirements.txt:27,knowledge-base/03_table1.txt:53,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_005,NC_T1_005,False,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,yes
REQ_T1_DRT_SIGNED,T4_DRT_SIGNED,knowledge-base/02_requirements.txt:27,knowledge-base/04_table4.txt:33,4,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_005,,True,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,yes
REQ_T1_DRT_REGISTERED,T1_DRT_REGISTERED,knowledge-base/02_requirements.txt:38,knowledge-base/03_table1.txt:34,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_004,NC_T1_004,False,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,yes
REQ_T1_DRT_REGISTERED,T4_DRT_REGISTERED,knowledge-base/02_requirements.txt:38,knowledge-base/04_table4.txt:14,4,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_004,NC_T4_017,False,RESPONSIBILITY_EVIDENCE_ATTRIBUTE,yes
REQ_T1_DRT_PROFESSIONAL_REGULARITY,T1_DRT_PROFESSIONAL_REGULARITY,knowledge-base/02_requirements.txt:49,knowledge-base/03_table1.txt:72,1,CONFEA_CREA,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_009,NC_T1_009,True,RESPONSIBILITY_EVIDENCE_PROFESSIONAL_REGULARITY,no
REQ_T1_DRT_PROFESSIONAL_REGULARITY,T4_DRT_PROFESSIONAL_REGULARITY,knowledge-base/02_requirements.txt:49,knowledge-base/04_table4.txt:52,4,CONFEA_CREA,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_009,NC_T4_019,True,RESPONSIBILITY_EVIDENCE_PROFESSIONAL_REGULARITY,no
REQ_T1_DRT_ACTIVITY_EXECUTION,T1_DRT_ACTIVITY_EXECUTION,knowledge-base/02_requirements.txt:63,knowledge-base/03_table1.txt:210,1,IN01,,,,RT_002_EXECUCAO_DE_OBRA,RT-002,NC_T1_008,NC_T1_008,False,RESPONSIBILITY_ACTIVITY_COMPATIBLE,yes
REQ_T1_DRT_SMSCI,T1_DRT_SMSCI_COVERAGE,knowledge-base/02_requirements.txt:75,knowledge-base/03_table1.txt:228,1,IN01,,,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T1_002,NC_T1_002,False,RESPONSIBILITY_IS_SATISFIED_FOR_SMSCI,yes
REQ_T1_CONFORMITY_REPORT,T1_CONFORMITY_REPORT,knowledge-base/02_requirements.txt:87,knowledge-base/03_table1.txt:94,1,IN01,,,,RT_007_AVALIACAO_TECNICA,RT-007,NC_T1_003,NC_T1_003,False,RESPONSIBILITY_HAS_TECHNICAL_PRODUCT,yes
